age,gender,country,mascu_sec,working,gnorm_executives,gnorm_nurses,competitiveness,risk_tolerance,depression_score,cgi,male,rand
50,Female,UK,0,1,Agree,Strongly agree,1,1,3.75,5,0,.73664904
34,Female,UK,0,1,Strongly agree,Strongly agree,7,7,2.25,3,0,.79107571
48,Female,UK,1,1,Strongly agree,Strongly agree,0,3,4.25,8,0,.65456545
53,Male,UK,0,1,Strongly agree,Agree,3,5,2.25,0,1,.98705608
52,Male,UK,1,1,Strongly agree,Agree,9,10,1,7,1,.72854698
64,Female,UK,0,1,Agree,Agree,2,4,2,1,0,.88684201
56,Female,UK,0,1,Agree,Strongly agree,5,6,2.5,5,0,.76069379
61,Female,UK,0,1,Strongly disagree,Strongly agree,7,10,1.5,5,0,.94879478
33,Female,UK,0,1,Agree,Disagree,8,10,3,2,0,.84042919
27,Female,UK,1,1,Strongly agree,Strongly agree,10,10,2,0,0,.56430501
44,Female,UK,0,1,Strongly agree,Strongly agree,8,6,1.25,0,0,.58016717
35,Male,USA,0,1,Strongly agree,Strongly agree,10,10,1,10,1,.91493928
26,Male,USA,0,1,,Agree,8,10,2.75,10,1,.80177647
47,Female,UK,0,1,Agree,Agree,7,3,3.25,3,0,.61241806
64,Female,UK,0,1,Strongly agree,Strongly agree,8,7,1.75,3,0,.95122731
60,Female,USA,0,1,Strongly agree,Agree,8,5,2.5,2,0,.81824613
50,Male,USA,1,1,Agree,Strongly agree,8,10,2,8,1,.56943715
45,Male,UK,0,1,Agree,Strongly agree,9,8,3,8,1,.92158729
42,Male,UK,0,1,Strongly agree,Agree,7,6,2.25,7,1,.50288326
49,Male,USA,0,1,Agree,Strongly agree,10,10,1,10,1,.50579911
33,Male,USA,0,1,Strongly agree,Strongly agree,8,7,1.5,7,1,.94844985
50,Female,UK,0,1,Strongly agree,Strongly agree,5,2,2.25,1,0,.91270316
49,Female,USA,0,1,Strongly agree,Strongly agree,5,7,4.25,1,0,.63852316
42,Female,USA,0,1,Strongly agree,Agree,9,5,3,4,0,.95197713
62,Female,USA,0,1,Strongly agree,Strongly agree,5,6,1.75,7,0,.63253397
52,Female,USA,0,1,Agree,Agree,5,3,2.25,1,0,.50684524
61,Male,UK,0,1,Strongly agree,Agree,7,4,1.75,7,1,.98887557
64,Male,USA,0,1,Strongly agree,Strongly agree,2,2,1.75,7,1,.50667363
56,Male,UK,0,1,Agree,Agree,5,3,3,8,1,.65274799
38,Female,USA,0,1,Strongly agree,Strongly agree,9,6,3.25,5,0,.71293491
45,Male,UK,0,1,Agree,Agree,8,7,1.5,9,1,.53899252
37,Male,USA,1,1,Strongly agree,Agree,10,8,1.5,9,1,.72804916
62,Male,USA,,0,Strongly agree,Strongly agree,5,4,1.75,8,1,.71412528
27,Female,UK,0,1,Agree,Agree,6,3,2.25,4,0,.8735503
